ORIGIN,DEST,DEP_DELAY_NEW,ARR_DELAY_NEW,DISTANCE
ALB,BWI,10,22,289
ALB,BWI,30,23,289
ALB,BWI,22,27,289
ALB,BWI,27,27,289
ALB,BWI,10,35,289
ALB,BWI,37,40,289
ALB,BWI,53,40,289
ALB,BWI,47,47,289
ALB,BWI,116,108,289
ALB,BWI,170,160,289
ALB,BWI,212,241,289
ALB,IAD,0,0,325
ALB,IAD,0,16,325
ALB,IAD,66,58,325
ALB,DTW,0,0,489
ALB,DTW,0,0,489
ALB,DTW,0,0,489
ALB,DTW,0,5,489
ALB,DTW,28,11,489
ALB,DTW,0,14,489
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,0,0,646
ALB,CLT,6,0,646
ALB,CLT,7,0,646
ALB,CLT,8,0,646
ALB,CLT,1,3,646
ALB,CLT,0,4,646
ALB,CLT,0,5,646
ALB,CLT,0,7,646
ALB,CLT,0,7,646
ALB,CLT,1,7,646
ALB,CLT,0,15,646
ALB,CLT,0,15,646
ALB,CLT,0,20,646
ALB,CLT,0,20,646
ALB,CLT,1,24,646
ALB,CLT,0,25,646
ALB,CLT,0,27,646
ALB,CLT,81,55,646
ALB,CLT,54,60,646
ALB,CLT,65,67,646
ALB,CLT,83,77,646
ALB,CLT,97,77,646
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,0,0,717
ALB,MDW,1,0,717
ALB,MDW,1,0,717
ALB,MDW,2,0,717
ALB,MDW,2,0,717
ALB,MDW,2,0,717
ALB,MDW,2,0,717
ALB,MDW,10,0,717
ALB,MDW,11,0,717
ALB,MDW,11,0,717
ALB,MDW,13,0,717
ALB,MDW,0,1,717
ALB,MDW,0,2,717
ALB,MDW,0,2,717
ALB,MDW,0,4,717
ALB,MDW,0,5,717
ALB,MDW,0,6,717
ALB,MDW,9,7,717
ALB,MDW,1,8,717
ALB,MDW,6,9,717
ALB,MDW,13,10,717
ALB,MDW,12,15,717
ALB,MDW,18,18,717
ALB,MDW,1,20,717
ALB,MDW,25,20,717
ALB,MDW,0,21,717
ALB,MDW,47,29,717
ALB,MDW,27,40,717
ALB,MDW,57,42,717
ALB,MDW,38,45,717
ALB,MDW,75,80,717
ALB,MDW,242,258,717
ALB,MDW,47,,717
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,0,0,723
ALB,ORD,1,0,723
ALB,ORD,1,0,723
ALB,ORD,4,0,723
ALB,ORD,4,0,723
ALB,ORD,6,0,723
ALB,ORD,8,0,723
ALB,ORD,10,0,723
ALB,ORD,10,0,723
ALB,ORD,0,1,723
ALB,ORD,7,1,723
ALB,ORD,10,1,723
ALB,ORD,0,2,723
ALB,ORD,0,2,723
ALB,ORD,0,3,723
ALB,ORD,4,3,723
ALB,ORD,10,6,723
ALB,ORD,0,8,723
ALB,ORD,13,10,723
ALB,ORD,6,15,723
ALB,ORD,3,18,723
ALB,ORD,0,20,723
ALB,ORD,0,20,723
ALB,ORD,40,32,723
ALB,ORD,30,35,723
ALB,ORD,27,36,723
ALB,ORD,23,38,723
ALB,ORD,22,39,723
ALB,ORD,70,62,723
ALB,ORD,54,67,723
ALB,ORD,112,113,723
ALB,ORD,112,130,723
ALB,ORD,148,135,723
ALB,ORD,191,321,723
ALB,ORD,318,350,723
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,0,0,853
ALB,ATL,3,0,853
ALB,ATL,3,0,853
ALB,ATL,5,0,853
ALB,ATL,6,0,853
ALB,ATL,8,0,853
ALB,ATL,9,0,853
ALB,ATL,13,0,853
ALB,ATL,18,0,853
ALB,ATL,30,0,853
ALB,ATL,0,2,853
ALB,ATL,8,4,853
ALB,ATL,15,4,853
ALB,ATL,1,5,853
ALB,ATL,6,6,853
ALB,ATL,0,11,853
ALB,ATL,8,11,853
ALB,ATL,14,11,853
ALB,ATL,0,12,853
ALB,ATL,0,13,853
ALB,ATL,35,15,853
ALB,ATL,0,20,853
ALB,ATL,8,21,853
ALB,ATL,0,23,853
ALB,ATL,0,23,853
ALB,ATL,20,31,853
ALB,ATL,45,35,853
ALB,ATL,44,40,853
ALB,ATL,51,40,853
ALB,ATL,44,41,853
ALB,ATL,49,41,853
ALB,ATL,26,49,853
ALB,ATL,65,50,853
ALB,ATL,4,69,853
ALB,ATL,212,151,853
ALB,ATL,234,213,853
ALB,ATL,311,318,853
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,0,0,1073
ALB,MCO,2,0,1073
ALB,MCO,2,0,1073
ALB,MCO,3,0,1073
ALB,MCO,7,0,1073
ALB,MCO,20,0,1073
ALB,MCO,26,0,1073
ALB,MCO,6,1,1073
ALB,MCO,0,6,1073
ALB,MCO,8,7,1073
ALB,MCO,0,9,1073
ALB,MCO,0,10,1073
ALB,MCO,2,10,1073
ALB,MCO,12,10,1073
ALB,MCO,0,25,1073
ALB,MCO,19,25,1073
ALB,MCO,25,25,1073
ALB,MCO,3,27,1073
ALB,MCO,40,35,1073
ALB,MCO,93,83,1073
ALB,MCO,109,104,1073
ALB,MCO,129,130,1073
ALB,MCO,541,535,1073
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,0,0,1130
ALB,TPA,1,0,1130
ALB,TPA,1,0,1130
ALB,TPA,3,0,1130
ALB,TPA,32,0,1130
ALB,TPA,3,5,1130
ALB,TPA,1,6,1130
ALB,TPA,13,7,1130
ALB,TPA,0,13,1130
ALB,TPA,12,16,1130
ALB,TPA,43,19,1130
ALB,TPA,31,26,1130
ALB,TPA,17,31,1130
ALB,TPA,4,44,1130
ALB,TPA,70,47,1130
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,0,0,1204
ALB,FLL,3,0,1204
ALB,FLL,7,0,1204
ALB,FLL,25,0,1204
ALB,FLL,0,3,1204
ALB,FLL,1,4,1204
ALB,FLL,0,6,1204
ALB,FLL,0,6,1204
ALB,FLL,1,8,1204
ALB,FLL,2,15,1204
ALB,FLL,28,20,1204
ALB,FLL,0,22,1204
ALB,FLL,30,26,1204
ALB,FLL,17,60,1204
ALB,LAS,7,13,2237
ALB,LAS,4,19,2237
ALB,LAS,16,27,2237
ALB,LAS,30,38,2237
ALB,LAS,206,235,2237
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,0,0,712
ATL,BUF,5,0,712
ATL,BUF,5,0,712
ATL,BUF,6,0,712
ATL,BUF,7,0,712
ATL,BUF,7,0,712
ATL,BUF,9,0,712
ATL,BUF,10,0,712
ATL,BUF,0,1,712
ATL,BUF,0,1,712
ATL,BUF,0,1,712
ATL,BUF,0,2,712
ATL,BUF,0,2,712
ATL,BUF,0,3,712
ATL,BUF,4,3,712
ATL,BUF,18,3,712
ATL,BUF,0,4,712
ATL,BUF,0,4,712
ATL,BUF,0,4,712
ATL,BUF,0,4,712
ATL,BUF,0,4,712
ATL,BUF,9,4,712
ATL,BUF,1,5,712
ATL,BUF,6,5,712
ATL,BUF,3,7,712
ATL,BUF,13,7,712
ATL,BUF,21,7,712
ATL,BUF,0,10,712
ATL,BUF,1,11,712
ATL,BUF,0,12,712
ATL,BUF,0,12,712
ATL,BUF,0,13,712
ATL,BUF,17,13,712
ATL,BUF,22,13,712
ATL,BUF,28,13,712
ATL,BUF,0,16,712
ATL,BUF,9,17,712
ATL,BUF,30,17,712
ATL,BUF,32,18,712
ATL,BUF,0,20,712
ATL,BUF,31,22,712
ATL,BUF,20,23,712
ATL,BUF,22,27,712
ATL,BUF,42,32,712
ATL,BUF,57,38,712
ATL,BUF,46,39,712
ATL,BUF,55,45,712
ATL,BUF,51,50,712
ATL,BUF,78,61,712
ATL,BUF,92,93,712
ATL,ELM,0,0,717
ATL,ELM,31,32,717
ATL,ELM,256,243,717
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,0,0,749
ATL,ROC,1,0,749
ATL,ROC,2,0,749
ATL,ROC,2,0,749
ATL,ROC,3,0,749
ATL,ROC,5,0,749
ATL,ROC,5,0,749
ATL,ROC,8,0,749
ATL,ROC,0,1,749
ATL,ROC,0,1,749
ATL,ROC,1,1,749
ATL,ROC,0,2,749
ATL,ROC,0,3,749
ATL,ROC,0,3,749
ATL,ROC,0,3,749
ATL,ROC,0,3,749
ATL,ROC,1,3,749
ATL,ROC,0,4,749
ATL,ROC,0,4,749
ATL,ROC,0,4,749
ATL,ROC,13,4,749
ATL,ROC,0,5,749
ATL,ROC,0,6,749
ATL,ROC,1,6,749
ATL,ROC,3,7,749
ATL,ROC,9,7,749
ATL,ROC,27,8,749
ATL,ROC,0,9,749
ATL,ROC,0,11,749
ATL,ROC,22,11,749
ATL,ROC,18,13,749
ATL,ROC,0,14,749
ATL,ROC,0,16,749
ATL,ROC,15,17,749
ATL,ROC,0,20,749
ATL,ROC,28,22,749
ATL,ROC,25,24,749
ATL,ROC,28,25,749
ATL,ROC,0,31,749
ATL,ROC,76,60,749
ATL,ROC,102,92,749
ATL,ROC,130,113,749
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,0,0,760
ATL,JFK,1,0,760
ATL,JFK,1,0,760
ATL,JFK,1,0,760
ATL,JFK,2,0,760
ATL,JFK,2,0,760
ATL,JFK,2,0,760
ATL,JFK,2,0,760
ATL,JFK,3,0,760
ATL,JFK,3,0,760
ATL,JFK,3,0,760
ATL,JFK,3,0,760
ATL,JFK,3,0,760
ATL,JFK,4,0,760
ATL,JFK,5,0,760
ATL,JFK,5,0,760
ATL,JFK,5,0,760
ATL,JFK,5,0,760
ATL,JFK,6,0,760
ATL,JFK,6,0,760
ATL,JFK,7,0,760
ATL,JFK,8,0,760
ATL,JFK,10,0,760
ATL,JFK,11,0,760
ATL,JFK,15,0,760
ATL,JFK,15,0,760
ATL,JFK,0,1,760
ATL,JFK,6,1,760
ATL,JFK,8,1,760
ATL,JFK,9,1,760
ATL,JFK,7,2,760
ATL,JFK,22,2,760
ATL,JFK,6,3,760
ATL,JFK,29,3,760
ATL,JFK,0,4,760
ATL,JFK,0,4,760
ATL,JFK,8,4,760
ATL,JFK,0,5,760
ATL,JFK,0,5,760
ATL,JFK,12,5,760
ATL,JFK,0,6,760
ATL,JFK,0,6,760
ATL,JFK,5,6,760
ATL,JFK,0,7,760
ATL,JFK,4,7,760
ATL,JFK,8,7,760
ATL,JFK,16,7,760
ATL,JFK,25,7,760
ATL,JFK,0,8,760
ATL,JFK,0,8,760
ATL,JFK,6,10,760
ATL,JFK,6,10,760
ATL,JFK,9,10,760
ATL,JFK,0,11,760
ATL,JFK,5,11,760
ATL,JFK,0,12,760
ATL,JFK,11,12,760
ATL,JFK,38,12,760
ATL,JFK,1,13,760
ATL,JFK,4,13,760
ATL,JFK,5,13,760
ATL,JFK,5,13,760
ATL,JFK,0,14,760
ATL,JFK,10,14,760
ATL,JFK,18,14,760
ATL,JFK,3,16,760
ATL,JFK,2,17,760
ATL,JFK,5,17,760
ATL,JFK,34,17,760
ATL,JFK,20,18,760
ATL,JFK,3,19,760
ATL,JFK,23,19,760
ATL,JFK,0,20,760
ATL,JFK,17,20,760
ATL,JFK,0,21,760
ATL,JFK,13,21,760
ATL,JFK,2,23,760
ATL,JFK,23,23,760
ATL,JFK,26,23,760
ATL,JFK,0,25,760
ATL,JFK,31,25,760
ATL,JFK,48,25,760
ATL,JFK,34,26,760
ATL,JFK,12,28,760
ATL,JFK,25,32,760
ATL,JFK,0,33,760
ATL,JFK,22,33,760
ATL,JFK,34,35,760
ATL,JFK,0,36,760
ATL,JFK,33,38,760
ATL,JFK,11,39,760
ATL,JFK,64,41,760
ATL,JFK,28,42,760
ATL,JFK,0,43,760
ATL,JFK,15,46,760
ATL,JFK,3,57,760
ATL,JFK,72,71,760
ATL,JFK,98,80,760
ATL,JFK,5,81,760
ATL,JFK,92,88,760
ATL,JFK,63,90,760
ATL,JFK,91,95,760
ATL,JFK,169,166,760
ATL,JFK,204,191,760
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
ATL,LGA,0,0,762
