Plate_ID,Registration_State,Plate_Type,Vehicle_Make,Issuer_Code,Street_Name,Vehicle_Year
G71FJK,NJ,PAS,FIAT,950702,STEINWAY ST,0
JZY6624,PA,PAS,ME/BE,961431,50 STREET,0
HNJ5764,NY,PAS,JEEP,937411,PARK AVE,2011
GRS4958,NY,PAS,FORD,962571,SMITH ST,2002
GWJ9767,NY,PAS,NISSA,533310,67 RD,1999
HRE6419,NY,PAS,JEEP,961384,101 AVE,2017
GZK9247,NY,PAS,NISSA,954163,PROSPECT PL,2017
HJS8535,NY,PAS,NISSA,954710,CONEY ISLAND AVE,2016
KLN2090,PA,PAS,MERCU,951244,FLATBUSH AVE,0
66780ME,NY,COM,MERCU,957317,COURT ST,2015
66119JW,NY,COM,WORKH,951563,AVE C,2007
XCMD81,NJ,PAS,FRUEH,554829,WEST ST,0
24738ME,NY,COM,FORD,939810,E 16TH ST,2014
HDX8721,NY,PAS,PONTI,921836,61ST ST,2004
HLFS156,NY,PAS,BMW,951989,UNION AVE,2014
GWM1666,NY,PAS,DODGE,954034,CONEY ISLAND AVE,2007
HSE4574,NY,PAS,HONDA,956067,OCEAN AVE,2017
GDY4129,NY,PAS,ME/BE,954034,C/O NOSTRAND AVE,2016
HKB6210,NY,PAS,VOLVO,929395,GOTHAM AVE,2009
79644JV,NY,COM,FRUEH,953783,W 168 TH ST,2006
9G45C,99,OMT,TOYOT,160495,W 42 ST,2014
HRH6002,NY,PAS,LEXUS,947916,ST ANNS AVE,2008
GKW4320,NY,PAS,JEEP,600281,37 AVENUE,2014
GJE5552,NY,PAS,FORD,955512,BRIGHTWATER COURT,2015
DEN5396,NY,PAS,HONDA,527650,LACONIA AVENUE,2005
9AWVHS,CT,PAS,CHEVR,0,S/B JEROME N.,2012
HGR4198,NY,PAS,,566734,FULTON AVE,2013
GMX5947,NY,PAS,GMC,100409,ATLANTIC AVE,2017
HTP8372,NY,PAS,JEEP,948879,5 AVE,2017
GPR3128,NY,PAS,ACURA,948589,ALEXANDER AVE,2005
GNV5579,NY,PAS,,563552,W 118 ST,2014
HBY5828,NY,PAS,TOYOT,956704,107,2005
HBZ7085,NY,PAS,HYUND,956023,NE C/O WINTHROP ST,2006
HFF7700,NY,PAS,JEEP,929493,FDR DR,2015
PSY303,NY,PAS,ME/BE,916586,E 14 ST,2003
50352JT,NY,COM,DODGE,947316,BROAD ST,2005
BVW5436,NY,PAS,HONDA,962180,W 115 ST,2015
KHK4661,PA,PAS,DODGE,921955,WYTHE AVE,0
EXB4113,NY,PAS,HONDA,938037,LINDEN,2005
42592MG,NY,COM,NISSA,660712,OCEAN AVE,2012
T679369C,NY,OMT,TOYOT,668664,63 ST,2015
63353JM,NY,COM,MERCU,934478,E/O E 135 ST,1995
840NVA,WI,PAS,SAAB,950492,WHITE STR,0
HDY8928,NY,PAS,TOYOT,944656,NEWTOWN AVE,2012
KKV0211,PA,PAS,,943824,W 30 ST,0
HGK9034,NY,PAS,FORD,955512,OCEAN PARKWAY,2015
GTC7349,NY,PAS,MAZDA,548261,STANHOPE ST,2015
GTV4799,NY,PAS,BMW,957251,15TH AVE,2017
HNP1707,NY,PAS,DODGE,960796,DAVIDSON AVE,2016
KHD6064,PA,PAS,HYUND,921836,5TH AVE,0
76178MH,NY,COM,FORD,956880,S/E C/O HARRIS LANE,2004
JHW4295,PA,PAS,SUBAR,940330,GREENPOINT AVE,0
89414JM,NY,COM,,957735,MERCER ST,0
GER5173,NY,PAS,MAZDA,939669,WINTER ST,2014
HAW4140,NY,PAS,FORD,0,GRAND CONCOURSE,2002
GNV3613,NY,PAS,DODGE,960780,CANAL,0
HHM1601,NY,PAS,FORD,949523,W 141 ST,2001
87627ME,NY,COM,CHEVR,927824,W 150TH ST,2015
GHD9016,NY,PAS,TOYOT,934584,47 ST,2016
7112561,NY,PAS,HONDA,955612,W 175,2009
84102MH,NY,COM,GMC,931061,W 56 STREET,2006
FPR5902,NY,PAS,TOYOT,939593,3AVE,2010
96651MJ,NY,COM,ME/BE,927636,GRAND ST,2016
2017329,99,PAS,NISSA,946557,95 ST,0
GVE600,SC,PAS,MITSU,925790,C/O FOREST CT,0
T5N384,MA,PAS,TOYOT,950730,C/O E 34 ST,0
96395,MA,999,KIA,936299,BROADWAY AVE,2008
HJX7156,NY,PAS,CHEVR,956145,JEFFERSON AVE,2016
H40FTS,NJ,PAS,HONDA,957326,1 AVE,0
IAM1390,NY,PAS,LA,960691,WASHINGTON AVE,2002
HLA3188,NY,PAS,TOYOT,934276,CLINTON RD,2014
JPS2635,PA,PAS,TOYOT,934276,LINCOLN RD,0
HLA5294,NY,PAS,SUBAR,934276,LINCOLN RD,2005
15492BB,NY,OMR,FORD,938581,BEDFORD AVE,2005
FXX3027,NY,PAS,HONDA,993427,MIDWOOD ST,2015
5CL5709,MD,PAS,AUDI,934276,RUTLAND RD,0
62558JM,NY,COM,MERCU,934276,NOSTRAND AV,1997
EVJ3041,NY,PAS,FORD,934276,BROOKLYN AV,2006
DWD8175,NY,PAS,TOYOT,934276,KINGSTON AV,2002
HJH3409,NY,PAS,CHEVR,960393,14TH AVE,2005
GUW1825,NY,PAS,BMW,959119,W 161 ST,0
HES8265,NY,PAS,FORD,931792,BROADWAY,2005
DYS4340,NY,PAS,NISSA,958821,BEDFORD,2007
HDS6480,NY,PAS,HONDA,622660,MAIN ST,2016
93741PA,NY,APP,MACK,959025,8 AVE,0
HAV8807,NY,PAS,SUBAR,0,CLARKSON AVE,2015
GHV7246,PA,PAS,FORD,934276,CLARKSON AVE,0
GVL6621,PA,PAS,NISSA,934276,EASTERN PKWY,0
HLD1189,NY,PAS,CADIL,934276,SULLIVAN PL,2007
HDY3311,NY,PAS,CHEVR,934276,MONTGOMERY ST,2016
HJV4009,NY,PAS,JEEP,934276,CROWN ST,2015
P6766B,FL,PAS,,961607,AVE I,0
RCN6654,GA,PAS,BMW,934270,CLARKSON AV,0
2FK852,MA,PAS,JEEP,934276,EASTERN PKWY,0
51976MA,NY,COM,MERCU,934276,BEDFORD AVE,1995
AN937Y,NJ,PAS,MERCU,934276,CLARKSON AV,0
GKP1071,NY,PAS,KIA,429825,UNION TPKE,2017
HMA7506,NY,PAS,TOYOT,932534,W 125 ST,2005
8CC0404,MA,PAS,TOYOT,961206,AUSTIN STREET,0
GCU5645,NY,PAS,HYUND,0,GRAND CONCOURSE,2015
GEB5550,NY,PAS,JEEP,111168,EAST 20TH STREET,2016
GUG7157,NY,PAS,VOLKS,160608,TENNIS COURTS,2014
HPB3686,NY,PAS,ACURA,953688,VAN SILEN,2009
T684807C,NY,COM,MERCU,559280,FULTON STREET,2005
HCT2044,NY,PAS,HONDA,939139,JEROME AVE,2001
GVL6193,NY,PAS,BMW,958004,38 AVE,2015
HBN4392,NY,PAS,TOYOT,538176,80TH ST,2008
31381MA,NY,COM,FORD,958224,TOMPKINS AVENUE,2016
16118MA,NY,COM,ISUZU,927204,8TH AVE,2013
FAK9382,NY,PAS,TOYOT,959775,SANFORD AVE,2005
HKN2933,NY,PAS,JEEP,943370,58 RD,2016
31TF63,NY,PAS,YAMAH,957062,ATLANTIC AVE,2016
945513,NY,PAS,TGB,957062,97 AVE,2007
1N6373,MA,PAS,HARLE,957062,N/E/C 89 AVE,2001
30891JX,NY,COM,MERCU,960288,BEEKMAN,1997
ALBANIAN,NY,PAS,AUDI,945153,86 ST,2015
E64EBE,NJ,PAS,SUBAR,954814,DYCKMAN ST,0
KHS8087,PA,PAS,BMW,358867,W 42ND ST,0
HFB4294,NY,PAS,JEEP,160685,HIGHLAND PARK,2015
HCM5035,NY,PAS,ME/BE,950125,MC DOUGAL ST,2016
HLB4354,NY,PAS,HYUND,925657,BROADWAY,0
GSN7833,NY,PAS,JEEP,940165,SURF AVE,2016
W37HWE,NJ,PAS,LEXUS,956685,CLARENDON RD,2001
P51HHH,99,PAS,BMW,960674,E 175 ST,0
FDV8688,NY,PAS,FORD,940165,BRIGHTON BEACH AVE,2010
EVE1156,NY,PAS,VOLKS,940165,SURF AVE,2007
FCZ9910,PA,PAS,NISSA,940165,SURF AVE,0
HMX8919,NY,PAS,BMW,960393,18TH AVE,2006
64062MB,NY,COM,ME/BE,936294,AVE C,2013
2208263,IN,PAS,FRUEH,952898,W 57 ST,0
2351823,IN,PAS,VOLVO,958581,W 36 ST,0
48425ME,NY,COM,FORD,954143,PARK AVE,0
HRA6387,NY,PAS,AUDI,940276,AVE K,2007
HHT1668,NY,PAS,,882620,W 151 ST,0
HJP9161,NY,PAS,HONDA,942671,BEDFORD AVE,2016
PAL5144,99,COM,,538015,W 37TH ST,0
EPY2219,NY,PAS,FORD,939106,R/O 71 JACKSON,2012
47603MD,NY,COM,FRUEH,961768,C/O W 33RD,2014
T642365C,NY,OMT,TOYOT,934662,W 189 ST,2013
HGY7503,NY,PAS,HONDA,955181,ELTON AVE,2005
HAR8278,NY,PAS,BMW,930719,16 ST,2013
GKL5057,99,PAS,ME/BE,930719,11 AVENUE,2017
76255JY,NY,999,FRUEH,949472,AMSTERDAM AVE,2007
48055MC,NY,COM,FRUEH,930971,10 AVE,2004
85036MB,NY,COM,WORKH,945682,LEXINGTON AVE,2011
GZM7516,NY,OMS,FIAT,0,CARROLL PL,2016
GCN6333,NY,PAS,FORD,515308,50 ST,0
EAB5723,NY,PAS,TOYOT,0,GRAND CONCOURSE,2003
8CM9193,MD,PAS,TOYOT,941136,W 135TH ST,0
39163MJ,NY,COM,CHEVR,924606,2ND AVE,2016
T662586C,NY,PAS,TOYOT,958793,W 55 STREET,2015
6D61254,NY,PAS,HONDA,929152,SCHERMERHORN ST,2016
BTN3178,NY,PAS,FORD,363559,45TH ST,2016
HBR3305,NY,PAS,FORD,362170,FENIMORE ST,2015
GNH1776,NY,PAS,,362170,FENIMORE ST,2009
63045JM,NY,COM,GMC,935332,W 46 ST,1988
T672258C,NY,OMT,HONDA,0,GRAND CONCOURSE,2015
BE15131,NY,COM,,867970,MOORE ST,0
90118MH,NY,COM,DODGE,960036,61 ROAD,0
HDE6782,NY,PAS,MAZDA,955934,SHORE FRONT,2006
HNR9536,NY,PAS,FORD,956559,E 185TH ST,2016
GYW8200,NY,PAS,LEXUS,960080,40 RD,2015
E75GKK,NJ,PAS,NISSA,160579,SOUTH BEACH DOLPHIN,0
AC24747,CT,PAS,HONDA,942821,C/O VIELE,0
HFT4855,NY,PAS,SCION,961980,E182 ST,2015
HNJ3938,NY,PAS,FORD,528610,LLOYD ST,2011
FYW3080,NY,PAS,KIA,611214,55TH ST,2016
HPB9238,NY,PAS,TOYOT,930305,209 PL,2008
HFZ7676,NY,PAS,HONDA,948892,E 177 ST,2016
HFF3667,NY,PAS,NISSA,949323,R/O 1244 E 56,2005
HKE8782,NY,PAS,LEXUS,957453,EAST 11,2017
GER6152,99,PAS,INFIN,960204,WILLIMAS AVE,2013
GXT3557,NY,PAS,DODGE,962240,ROCKAWAY PARKWAY,2013
FLL4706,NY,PAS,SUBAR,953453,EAST 23,2011
GJP2088,NY,PAS,HONDA,587626,WEST 230 STREET,2002
EAB9250,NY,PAS,TOYOT,956481,CLAFIN AVE,2004
JMH5987,PA,PAS,BMW,587630,MYRTLE AVENUE,0
HDV3197,NY,PAS,CHRYS,556771,REMSEN AVE,2006
GTP1625,NY,PAS,BMW,952393,BAY AVE,2016
AC92729,CT,PAS,NISSA,528610,AVE D,0
FZM9699,NY,PAS,HONDA,528610,AVE D,2003
CEG5693,NY,PAS,CHRYS,537816,76 ST,2003
GLH8396,NY,PAS,LEXUS,582845,13 AVE,2016
HKB7329,NY,PAS,LEXUS,960393,N/S 72ND ST,2008
AW4447,NY,PAS,TOYOT,537816,4TH AVE,0
V004CK,FL,PAS,HONDA,537816,4TH AVE,0
GFT8562,NY,PAS,HONDA,903588,W/S MOUNT CARMEL PLA,2010
T706635C,NY,OMT,ME/BE,953451,ROCKAWAY BLVD,2016
7CT844,MA,PAS,KIA,952561,S/E C/O PRESIDENT ST,0
HCH1841,NY,PAS,HONDA,0,CARROLL PL,2016
GAJ5490,NY,PAS,HONDA,949986,KINGS HWY,2015
EKY4393,NC,PAS,INFIN,934548,8 AVENUE,0
HEE3159,NY,PAS,GMC,955781,BATH AVE,2016
8BM9816,MD,PAS,VOLKS,890813,GERARD AVE,0
96172MA,NY,COM,FRUEH,925406,FT WASHINGTON AVE,0
HCX4569,NY,PAS,ACURA,160181,VERMONT PLACE,2012
GYH8152,NY,PAS,NISSA,955604,MARLBOROUGH ROAD,2015
48544MJ,NY,COM,FORD,951592,72 ROAD,2016
T695883C,NY,OMT,TOYOT,948584,6TH AVE,2016
HGU5025,99,PAS,INFIN,961030,FLUSHING MEADOW PARK,0
HNY1803,NY,PAS,JEEP,539565,E 164 ST,2011
EYC6346,NY,PAS,HONDA,352979,S/S RECTOR PL,2013
GVA2881,NY,PAS,NISSA,0,GRAND CONCOURSE,0
JZB2972,PA,PAS,MASE,961170,111 TH AVE,0
HCN1003,NY,PAS,ME/BE,961170,100TH AVE,2016
HNW3112,NY,PAS,BMW,959206,BOSTON RD,2013
GMR7616,NY,PAS,INFIN,261,JACOB RIIS PARK MAIN,2010
HAB1523,NY,PAS,HONDA,954821,5TH AVE,2017
HFH3542,NY,PAS,MAZDA,946708,ANTHONY AVE,2009
HHS5029,NY,PAS,DODGE,952601,GRAND ST,2010
GZH1141,NY,PAS,ME/BE,957292,VAN BUREN ST,2010
HCC2491,NY,PAS,LEXUS,516215,WEST 6 ST,2016
HHL5603,NY,PAS,HONDA,355208,N MOORE ST,2016
GRP6339,NY,PAS,DODGE,951986,UNION AVE,2014
HJK1305,NY,PAS,JEEP,923126,BRONXWOOD,2016
HTD5454,NY,PAS,FORD,932198,FOX ST,2011
GWV4636,NY,PAS,AUDI,957150,E 24 ST,2015
GEK9792,NY,PAS,CHEVR,928960,103 ST,1994
EUZZ70,FL,PAS,TOYOT,0,CARROLL PLACE,0
JZU3975,99,PAS,HONDA,956039,HOYT  STREET,2016
HLX2612,NY,PAS,TOYOT,956512,E 52 STREET,2016
JKJ6821,TX,PAS,NISSA,686983,DUMONT AVE,2004
HJF2851,NY,PAS,JEEP,635758,34TH AVE,2016
17233,LA,PAS,CADIL,0,CARROLL PLACE,0
HPL7838,NY,PAS,HONDA,942791,CENTRAL AVE,2013
GRN5843,NY,PAS,AUDI,686934,VANDERBILT ST,2006
HDX7454,NY,PAS,HONDA,926762,ST NICHOLAS AVE,2010
HGV6913,NY,PAS,TOYOT,548261,KNICKERBOCKER AVE,2016
HKZ2826,99,PAS,HONDA,961510,BRIGGS AVE,2003
GXT3728,NY,PAS,JEEP,897991,DIKEMAN ST,0
GSA1467,NY,PAS,HONDA,0,GRAND CONCOURSE,2007
HLP6285,NY,PAS,FORD,576889,EAST 29TH STREET,2016
GCN3617,NY,PAS,HONDA,576889,EAST 29TH STREET,2016
JVT3414,PA,PAS,TOYOT,576889,EAST 28TH STREET,0
HAW4140,NY,PAS,FORD,0,GRAND CONCOURSE,2002
T640081C,NY,OMT,TOYOT,0,GRAND CONCOURSE,2014
T687197C,NY,OMT,TOYOT,0,GRAND CONCOURSE,2016
GXC2475,99,PAS,HYUND,959324,116 AVE,2006
HJW1541,NY,PAS,,0,GRAND CONCOURSE,0
PG731P,FL,PAS,CHRYS,961363,43 STREET,0
HJH4524,NY,PAS,NISSA,0,CARROLL PL,1999
GSH3687,NY,PAS,HONDA,961363,28 AVE,2014
T620263C,NY,999,LINCO,966084,170 ST,0
JRD4240,PA,PAS,HONDA,364849,2nd Ave,0
DBB4558,NY,PAS,TOYOT,364849,2nd Ave,2016
95515MG,NY,COM,FORD,0,CARROLL PL,1998
PETSPA,NY,COM,ME/BE,937996,MADISON AVENUE,2016
PETSPA,NY,COM,ME/BE,937996,MADISON AVENUE,2012
DRV2058,NY,PAS,TOYOT,934341,ORCHARD BAECH PKY,2004
A433606,99,COM,GMC,0,PARK AVE,0
60385ME,NY,COM,DODGE,938727,LEXINGTON AVE,2004
HJF3716,NY,OMS,ROVER,957669,13 AVE,2016
T71733SC,NY,OMT,TOYOT,936434,66 STREET,0
4BR2933,99,PAS,FORD,921652,W 130 ST,0
85383MB,NY,COM,FRE,906357,HUDSON ST,2011
T6499260,NY,999,TOYOT,941566,W 148 ST,2014
ELW356,99,OMT,,0,GRAND CONCOURSE,2006
XAS812,CT,PAS,SUBAR,540113,BROADWAY,2017
HFD1534,NY,PAS,,531401,BAY 8 ST,2002
LKJ6709,NY,PAS,HONDA,510935,38 ST,0
91675MG,NY,COM,MITSU,894955,CPW,2007
GWF8918,NY,PAS,HONDA,161296,BROOKLYNBRIDGE PARK,2012
HCW3725,NY,PAS,TOYOT,957251,CROPSEY AVE,2016
30880JX,NY,COM,FRUEH,949002,E 70 ST,0
HDB7619,NY,PAS,SUZUK,935041,35TH ST,2010
GWC1559,NY,PAS,HONDA,938852,RANDALL,2012
HBN8319,NY,PAS,FORD,533259,VALENTINE AVE,2017
31340MG,NY,COM,,958821,C/O PEARL,0
JBJ8209,PA,PAS,AUDI,956868,MAPLE ST,0
NIPUN00R,NY,PAS,BMW,0,GRAND CONCOURSE,2006
FRS631,99,COM,TOYOT,953189,R/O 558 GRAND CONCOU,0
38848MD,NY,COM,CHEVR,945266,LEXINGTON AVE,2015
55006MB,NY,COM,FRUEH,945266,LEXINGTON AVE,2012
35798MH,NY,COM,FRUEH,945266,LEXINGTON AVE,2017
55036MB,NY,COM,WORKH,945266,LEXINGTON AVE,2011
12864KA,NY,COM,FORD,960038,2ND AVE,2009
HFZ1414,NY,PAS,ME/BE,940204,DYCKMAN ST,2017
88229MA,NY,COM,FORD,960036,PARSONS BLVD,2015
EUL9132,NY,PAS,NISSA,950654,ORCHARD BEACH RD,2009
21856MG,NY,COM,MITSU,958004,POWELLS COVE BLVD,0
HSF6006,NY,PAS,HONDA,957447,214 ST,2009
HNJ5764,NY,PAS,JEEP,686934,PARK AVE,2017
HHM2982,NY,OMT,GMC,875248,VAN NEST AVE,2002
HLE4687,NY,PAS,TOYOT,536176,HALL PL,2014
HGV2842,NY,PAS,HONDA,960416,COURTLANDT AVE,2007
AH83978,CT,999,,538176,HALL PL,0
16187JT,NY,COM,MERCU,954139,2ND AVE,2006
HSD3061,NY,PAS,HONDA,927089,ELIZABETH,2017
HGR4981,NY,PAS,MAZDA,587626,WEST 230 STREET,2010
6NT2728,NY,PAS,,929395,KINGSTON AVE,2006
PAL5217,MN,PAS,MERCU,929395,KINGS HWY,0
GZN3208,NY,PAS,HONDA,898569,35 AVE,2012
Y70TTN,FL,PAS,,956008,RIVERSIDE,0
GTD6451,NY,PAS,JEEP,956230,BARNES AVE,2012
B25GFB,NJ,PAS,HYUND,929123,LORIMER ST,0
83454MH,NY,COM,FRUEH,956908,YORK AVE,2016
HMD3693,NY,PAS,NISSA,981218,WOODYCREST,2008
R88HFP,NJ,PAS,KIA,981218,OGDEN AVE,0
HES8562,NY,PAS,TOYOT,0,CARROLL PL,2012
GZM3461,NY,999,VOLVO,961753,HICKS ST,1989
HKG1212,NY,PAS,JEEP,668645,ARTHUR AVE,2014
HKT2869,NY,PAS,HONDA,938550,BECKMAN PL,2002
77612KA,NY,COM,FORD,921836,5TH AVE,2008
P53AAR,NJ,PAS,CHEVR,0,W 83,0
FSM1276,NY,PAS,CHEVR,892491,CREAMER ST,0
GZH8434,NY,PAS,CHRYS,933236,PLYMOUTH AVE,2005
HBZ7200,NY,999,ME/BE,939086,APOLLO,2016
HHB9578,NY,PAS,TOYOT,669521,8TH AVE,2014
KGM5124,PA,PAS,ME/BE,951664,BRIGHTON 11 ST,0
GHL3265,NY,PAS,FORD,599503,AVENUE L,1999
GSV5421,NY,PAS,FORD,929395,AVE W,2014
HFY2674,NY,PAS,NISSA,890813,GRANT AVE,2016
GZ97383,99,PAS,NISSA,0,GRAND CONCOURSE,2015
GLK1379,NY,PAS,INFIN,357687,32 PL,2016
QN631,RI,PAS,TOYOT,981218,W 164TH ST,0
HRE3658,NY,PAS,HYUND,963208,LAMONT AVE,2008
HCX7328,NY,PAS,HYUND,606727,18TH AVE,2014
GHW5437,NY,PAS,TOYOT,927453,W/N/C/O 5 ST,2013
HCB7332,NY,PAS,HONDA,0,CARROLL PL,2017
HMX6684,NY,PAS,TOYOT,330081,SCHERMEHORN ST,1993
GXL8216,NY,PAS,DODGE,938155,E 119 ST,2013
HSKW2545,NY,PAS,HONDA,669521,4TH AVE,2010
GGA2458,NY,PAS,TOYOT,664194,11TH AVE,2004
HHV7662,NY,PAS,TOYOT,566734,FULTON AVE,2016
HBX3772,NY,PAS,NISSA,960593,C/O S CONDUIT,1995
KGS3601,PA,PAS,BMW,0,CARROLL PLACE,0
2079C,NY,COM,CHEVR,0,CARROLL PL,2014
HJW4554,NY,PAS,CHEVR,0,GRAND CONCOURSE,2003
HGF8719,NY,PAS,KIA,955293,ASHFORD AVE,2005
OADRK3,CT,PAS,BMW,930430,ACADEMY ST,0
HWGX93,FL,PAS,LINCO,951070,BEVERLEY RD,0
96170MA,NY,COM,,943931,BROADWAY ST,0
VVT9926,VA,PAS,TOYOT,954772,MCDONALD AVE,0
14613JC,NY,COM,TOYOT,668628,18TH AVE,2011
FCP7721,NY,PAS,TOYOT,936630,130 AVE,2003
GWM3744,NY,PAS,INFIN,962452,MOFFAT,2014
HMX6273,NY,PAS,FORD,979395,AVE X,2003
HSF6639,NY,PAS,VOLVO,967555,BOYNTON AVE,2006
GXL8805,NY,PAS,TOYOT,938932,AVE Y,2015
HDD6583,NY,PAS,FORD,961450,204 ST,0
HRC5731,NY,PAS,L/R,952284,28 ST,2017
JP69319,PA,PAS,HONDA,929395,OCEAN  AVE,0
98446JX,NY,COM,INTER,931867,MADISON AVE,1997
F013995,99,PAS,FORD,946943,BARCLAY STREET,0
GTM7155,NY,PAS,CHEVR,0,CARROLL PL,2015
JZP7402,PA,PAS,HONDA,957657,KENT,0
KFW1211,PA,PAS,DODGE,929152,SCHERMERHORN ST,0
GTM7155,NY,PAS,CHEVR,0,CARROLL PL,2015
HDM2894,NY,PAS,VOLKS,938127,E 20 ST LOOP,2017
83461MH,NY,COM,,531202,CONEY ISLAND AVE,0
52538MJ,NY,COM,FORD,971202,OCEAN AVE,2013
51915MG,NY,COM,HIN,936880,W 44,0
2571747,IN,PAS,INTER,936800,W 44,0
75247W,NY,COM,UPS,957010,OCEAN AVE,0
62562JM,NY,COM,,946008,BAYSLERTER,0
47581MG,NY,COM,FRUEH,935327,W 99 ST,2003
HGC3379,NY,PAS,NISSA,944841,DE REIMER AVE,1998
2TN833,MA,PAS,BMW,540127,WASHINGTON AVENUE,0
AGT9263,NY,PAS,FORD,763592,5TH AVE,0
CE47440,NC,PAS,,930851,OCEAN ST,0
HCJ2900,NY,PAS,NISSA,566734,FULTON AVE,2002
LADYTJ,NY,PAS,NISSA,950760,GATEWAY DR,2007
HMX8450,NY,PAS,TOYOT,960089,VOORHIES AVE,0
KKJ0002,PA,PAS,NISSA,364935,UTICA AVE,0
AJ47896,CT,PAS,HONDA,566734,FULTON AVE,0
7CD5464,MA,PAS,TOYOT,566734,FULTON AVE,0
EUT5190,NY,PAS,CHEVR,958288,GUENCER RD,2010
HZV4247,TX,PAS,TOYOT,0,GRAND CONCOURSE,0
HAS6143,NY,PAS,NISSA,0,GRAND CONCOURSE,2015
HRU6792,NY,PAS,TOYOT,955012,E 161,2009
HZV4247,TX,PAS,TOYOT,0,GRAND CONCOURSE,0
57328AN,NY,COM,CHEVR,936880,W 44,2007
12087JY,NY,COM,CHEVR,936880,W 44,2007
2571747,IN,PAS,,936880,W 44,0
75291MC,NY,COM,FORD,936880,W 44,2005
XAVK22,NJ,PAS,FORD,936880,W 44,0
HBS4709,NY,PAS,KIA,970952,E 98 ST,2015
X86HMN,CT,PAS,NISSA,923634,OCEAN AVE,0
FMC9133,NY,PAS,HONDA,931632,WEST 65ST,2011
97205AB,NY,COM,GMC,931632,WEST 65 ST,1998
HKN7283,99,PAS,ME/BE,0,GRAND CONCOURSE,0
HAW4140,NY,PAS,FORD,0,GRAND CONCOURSE,2008
GGS6599,NY,PAS,CHRYS,958696,I/O UNION AVE,2007
HAX5320,NY,PAS,HONDA,960393,BATH AVE,2012
DKW3895,99,PAS,NISSA,962403,LIBERTY AVE,2016
AF69015,PA,PAS,MERCU,931632,WEST 46 ST,0
15895PA,NY,999,MERCU,931632,WEST 46 ST,0
12906PC,NY,999,MERCU,0,WEST 45 ST,1991
45704PC,NY,999,MACK,931632,WEST 45 ST,0
HAW4140,99,PAS,FORD,0,GRAND CONCOURSE,2008
T175ER,NY,PAS,NISSA,936630,166 PL,2015
HKJ8124,NY,PAS,INFIN,931632,S/S W 43 ST,1999
UN1QU3,NY,PAS,INFIN,936630,166 PL,2007
EEJ5347,NY,PAS,TOYOT,936630,166 PL,2012
A5660U,NJ,PAS,FRUEH,931632,10TH ST,0
73276MG,NY,COM,FORD,931632,WEST 42 ST,2015
77002MH,NY,COM,FRUEH,931632,S/S WEST 43RD ST,2001
XAP073,NJ,PAS,NISSA,931632,S/S W 43 ST,0
GJS2419,NY,PAS,JEEP,363140,Forest Ct,2003
D59HSR,NJ,PAS,INFIN,953811,98 PL,2010
12077MJ,NY,COM,FRUEH,960240,MADISON AVE,2016
